epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
67,1851.82,0.67307,0.46339,0.01322,0.86804,0.87802,0.92668,0.7485,0.65889,0.33693,0.01398,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,1878.75,0.66828,0.45917,0.01285,0.94522,0.84701,0.93346,0.7393,0.6802,0.33156,0.01427,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,1905.71,0.66759,0.4673,0.01283,0.94041,0.85353,0.94286,0.7439,0.68138,0.31539,0.01443,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,1932.52,0.66615,0.45567,0.01276,0.88232,0.88746,0.94102,0.74803,0.67321,0.32411,0.01423,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,1959.28,0.66433,0.44395,0.01285,0.91324,0.82258,0.92648,0.75047,0.68343,0.34019,0.01504,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,1986.41,0.6442,0.44049,0.01246,0.89563,0.85478,0.92783,0.75317,0.66473,0.3182,0.01442,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,2013.15,0.63945,0.43828,0.01251,0.93296,0.85339,0.9157,0.74784,0.65928,0.31906,0.01408,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,2039.97,0.64401,0.43013,0.01232,0.86054,0.89956,0.94675,0.76114,0.64343,0.30389,0.01356,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,2067,0.64794,0.43106,0.01239,0.91523,0.8702,0.94523,0.75394,0.65729,0.30936,0.01363,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,2093.92,0.64248,0.41467,0.01247,0.93109,0.86264,0.9446,0.75704,0.66245,0.32493,0.01377,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,2120.81,0.64415,0.43599,0.01236,0.95271,0.84171,0.94417,0.75571,0.65872,0.31678,0.01385,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,2147.66,0.64222,0.41396,0.01229,0.94668,0.83962,0.94145,0.76822,0.65319,0.30917,0.01387,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,2174.76,0.6357,0.41792,0.01217,0.94474,0.84964,0.94524,0.75524,0.65854,0.31262,0.01387,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,2201.66,0.63387,0.41636,0.01221,0.94512,0.84992,0.93984,0.75508,0.67144,0.31998,0.01446,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,2228.51,0.62411,0.40214,0.01197,0.94791,0.84832,0.94105,0.76304,0.65706,0.30863,0.01397,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
